
Time,Acc Pitch Orientation #WM1, Acc Roll Orientation #WM1,Acc X #WM1,Acc Y #WM1,Acc Z #WM1,		Raw Yaw #WM1,Raw Pitch #WM1,Raw Roll #WM1,Speed Yaw #WM1, Speed Pitch #WM1,Speed Roll #WM1,		Acc Pitch Orientation #WM2, Acc Roll Orientation #WM2,Acc X #WM2,Acc Y #WM2,Acc Z #WM2,		Raw Yaw #WM2,Raw Pitch #WM2,Raw Roll #WM2,Speed Yaw #WM2, Speed Pitch #WM2,Speed Roll #WM2
85,-21.287598,2.481265,0.040339,0.363050,0.930896,1fa0,1f38,1f25,  -1.650,   3.550,   4.500,-37.120159,3.012788,0.041909,0.603489,0.796270,1f4b,1f63,1fa7,   2.600,   1.400,  -2.000
94,-19.119724,0.000000,0.000000,0.327543,0.944836,1f95,1f3b,1f2c,  -1.100,   3.400,   4.150,-37.120159,3.012788,0.041909,0.603489,0.796270,1f4b,1f63,1fa7,   2.600,   1.400,  -2.000
99,-19.119724,0.000000,0.000000,0.327543,0.944836,1f98,1f38,1f28,  -1.250,   3.550,   4.350,-37.120159,3.012788,0.041909,0.603489,0.796270,1f4b,1f63,1fa7,   2.600,   1.400,  -2.000
105,-19.119724,0.000000,0.000000,0.327543,0.944836,1f98,1f38,1f28,  -1.250,   3.550,   4.350,-37.006447,6.009006,0.083598,0.601905,0.794180,1f58,1f6a,1faa,   1.950,   1.050,  -2.150
112,-19.119724,0.000000,0.000000,0.327543,0.944836,1fa2,1f3c,1f23,  -1.750,   3.350,   4.600,-37.006447,6.009006,0.083598,0.601905,0.794180,1f58,1f6a,1faa,   1.950,   1.050,  -2.150
118,-19.119724,0.000000,0.000000,0.327543,0.944836,1f93,1f37,1f2a,  -1.000,   3.600,   4.250,-37.006447,6.009006,0.083598,0.601905,0.794180,1f55,1f67,1fa0,   2.100,   1.200,  -1.650
124,-19.119724,0.000000,0.000000,0.327543,0.944836,1f93,1f37,1f2a,  -1.000,   3.600,   4.250,-35.237030,3.012788,0.042929,0.576960,0.815643,1f5a,1f6b,1fa3,   1.850,   1.000,  -1.800
130,-19.119724,0.000000,0.000000,0.327543,0.944836,1fa8,1f39,1f24,  -2.050,   3.500,   4.550,-35.237030,3.012788,0.042929,0.576960,0.815643,1f5a,1f6b,1fa3,   1.850,   1.000,  -1.800
140,-19.119724,0.000000,0.000000,0.327543,0.944836,1f9a,1f3d,1f2c,  -1.350,   3.300,   4.150,-35.237030,3.012788,0.042929,0.576960,0.815643,1f64,1f61,1f95,   1.350,   1.500,  -1.100
148,-19.119724,0.000000,0.000000,0.327543,0.944836,1f9a,1f3b,1f24,  -1.350,   3.400,   4.550,-37.120159,3.012788,0.041909,0.603489,0.796270,1f5b,1f66,1fa4,   1.800,   1.250,  -1.850
157,-19.119724,0.000000,0.000000,0.327543,0.944836,1f9a,1f3b,1f24,  -1.350,   3.400,   4.550,-35.237030,3.012788,0.042929,0.576960,0.815643,1f57,1f65,1fa7,   2.000,   1.300,  -2.000
168,-21.287598,2.481265,0.040339,0.363050,0.930896,1f98,1f38,1f21,  -1.250,   3.550,   4.700,-35.237030,3.012788,0.042929,0.576960,0.815643,1f5d,1f61,1fa3,   1.700,   1.500,  -1.800
177,-21.305784,0.000000,0.000000,0.363345,0.931655,1faa,1f35,1f27,  -2.150,   3.700,   4.400,-37.120159,3.012788,0.041909,0.603489,0.796270,1f5f,1f62,1f9f,   1.600,   1.450,  -1.600
185,-19.119724,0.000000,0.000000,0.327543,0.944836,1fa2,1f39,1f2e,  -1.750,   3.500,   4.050,-35.237030,3.012788,0.042929,0.576960,0.815643,1f5f,1f6f,1faf,   1.600,   0.800,  -2.400
194,-19.119724,0.000000,0.000000,0.327543,0.944836,1fa1,1f38,1f21,  -1.700,   3.550,   4.700,-35.237030,3.012788,0.042929,0.576960,0.815643,1f63,1f6d,1f9f,   1.400,   0.900,  -1.600
205,-19.119724,0.000000,0.000000,0.327543,0.944836,1f98,1f38,1f1e,  -1.250,   3.550,   4.850,-35.125687,6.009007,0.085621,0.575372,0.813398,1f64,1f6c,1fa0,   1.350,   0.950,  -1.650
214,-19.119724,0.000000,0.000000,0.327543,0.944836,1f8f,1f38,1f25,  -0.800,   3.550,   4.500,-35.237030,3.012788,0.042929,0.576960,0.815643,1f69,1f74,1fa1,   1.100,   0.550,  -1.700
221,-19.119724,0.000000,0.000000,0.327543,0.944836,1f98,1f3d,1f21,  -1.250,   3.300,   4.700,-35.237030,3.012788,0.042929,0.576960,0.815643,1f69,1f74,1fa1,   1.100,   0.550,  -1.700
226,-19.119724,0.000000,0.000000,0.327543,0.944836,1f98,1f3d,1f21,  -1.250,   3.300,   4.700,-35.237030,3.012788,0.042929,0.576960,0.815643,1f62,1f79,1fa0,   1.450,   0.300,  -1.650
234,-19.119724,0.000000,0.000000,0.327543,0.944836,1f9d,1f34,1f20,  -1.500,   3.750,   4.750,-35.237030,3.012788,0.042929,0.576960,0.815643,1f62,1f79,1fa0,   1.450,   0.300,  -1.650
239,-19.119724,0.000000,0.000000,0.327543,0.944836,1f9d,1f34,1f20,  -1.500,   3.750,   4.750,-35.237030,3.012788,0.042929,0.576960,0.815643,1f63,1f6c,1fa2,   1.400,   0.950,  -1.750
244,-19.119724,0.000000,0.000000,0.327543,0.944836,1f9c,1f34,1f20,  -1.450,   3.750,   4.750,-35.237030,3.012788,0.042929,0.576960,0.815643,1f63,1f72,1fa1,   1.400,   0.650,  -1.700
249,-19.119724,0.000000,0.000000,0.327543,0.944836,1f9c,1f34,1f20,  -1.450,   3.750,   4.750,-35.237030,3.012788,0.042929,0.576960,0.815643,1f63,1f72,1fa1,   1.400,   0.650,  -1.700
254,-19.119724,0.000000,0.000000,0.327543,0.944836,1fa8,1f35,1f1a,  -2.050,   3.700,   5.050,-35.237030,3.012788,0.042929,0.576960,0.815643,1f5d,1f75,1fa1,   1.700,   0.500,  -1.700
259,-19.119724,0.000000,0.000000,0.327543,0.944836,1fa8,1f35,1f1a,  -2.050,   3.700,   5.050,-35.237030,3.012788,0.042929,0.576960,0.815643,1f5d,1f75,1fa1,   1.700,   0.500,  -1.700
266,-19.119724,0.000000,0.000000,0.327543,0.944836,1f99,1f37,1f17,  -1.300,   3.600,   5.200,-35.237030,3.012788,0.042929,0.576960,0.815643,1f62,1f71,1f9e,   1.450,   0.700,  -1.550
272,-19.119724,0.000000,0.000000,0.327543,0.944836,1fa0,1f3e,1f18,  -1.650,   3.250,   5.150,-35.237030,3.012788,0.042929,0.576960,0.815643,1f62,1f71,1f9e,   1.450,   0.700,  -1.550
276,-19.119724,0.000000,0.000000,0.327543,0.944836,1fa0,1f3e,1f18,  -1.650,   3.250,   5.150,-35.237030,3.012788,0.042929,0.576960,0.815643,1f67,1f78,1f94,   1.200,   0.350,  -1.050
281,-19.119724,0.000000,0.000000,0.327543,0.944836,1fa0,1f42,1f14,  -1.650,   3.050,   5.350,-35.237030,3.012788,0.042929,0.576960,0.815643,1f67,1f78,1f94,   1.200,   0.350,  -1.050
286,-19.119724,0.000000,0.000000,0.327543,0.944836,1fa0,1f42,1f14,  -1.650,   3.050,   5.350,-35.237030,3.012788,0.042929,0.576960,0.815643,1f69,1f79,1f9a,   1.100,   0.300,  -1.350
291,-19.119724,0.000000,0.000000,0.327543,0.944836,1fa2,1f45,1f0c,  -1.750,   2.900,   5.750,-35.237030,3.012788,0.042929,0.576960,0.815643,1f69,1f79,1f9a,   1.100,   0.300,  -1.350
296,-19.119724,0.000000,0.000000,0.327543,0.944836,1fa2,1f45,1f0c,  -1.750,   2.900,   5.750,-35.237030,3.012788,0.042929,0.576960,0.815643,1f70,1f82,1f9c,   0.750,  -0.150,  -1.450
300,-19.119724,0.000000,0.000000,0.327543,0.944836,1fa2,1f45,1f0c,  -1.750,   2.900,   5.750,-35.237030,3.012788,0.042929,0.576960,0.815643,1f70,1f82,1f9c,   0.750,  -0.150,  -1.450
308,-19.119724,0.000000,0.000000,0.327543,0.944836,1f98,1f53,1f0e,  -1.250,   2.200,   5.650,-35.237030,3.012788,0.042929,0.576960,0.815643,1f78,1f81,1f93,   0.350,  -0.100,  -1.000
313,-19.119724,0.000000,0.000000,0.327543,0.944836,1f99,1f49,1f10,  -1.300,   2.700,   5.550,-35.237030,3.012788,0.042929,0.576960,0.815643,1f78,1f81,1f93,   0.350,  -0.100,  -1.000
317,-19.119724,0.000000,0.000000,0.327543,0.944836,1f99,1f49,1f10,  -1.300,   2.700,   5.550,-35.237030,3.012788,0.042929,0.576960,0.815643,1f7e,1f80,1f97,   0.050,  -0.050,  -1.200
322,-19.119724,0.000000,0.000000,0.327543,0.944836,1fa0,1f4a,1f16,  -1.650,   2.650,   5.250,-35.237030,3.012788,0.042929,0.576960,0.815643,1f7e,1f80,1f97,   0.050,  -0.050,  -1.200
328,-19.119724,0.000000,0.000000,0.327543,0.944836,1fa0,1f4a,1f16,  -1.650,   2.650,   5.250,-35.237030,3.012788,0.042929,0.576960,0.815643,1f79,1f84,1f8c,   0.300,  -0.250,  -0.650
332,-19.119724,0.000000,0.000000,0.327543,0.944836,1fa0,1f4a,1f16,  -1.650,   2.650,   5.250,-35.237030,3.012788,0.042929,0.576960,0.815643,1f79,1f84,1f8c,   0.300,  -0.250,  -0.650
345,-21.305784,0.000000,0.000000,0.363345,0.931655,1f9e,1f45,1f0f,  -1.550,   2.900,   5.600,-37.006447,6.009006,0.083598,0.601905,0.794180,1f73,1f7a,1f97,   0.600,   0.250,  -1.200
351,-21.305784,0.000000,0.000000,0.363345,0.931655,1fa2,1f47,1f12,  -1.750,   2.800,   5.450,-37.006447,6.009006,0.083598,0.601905,0.794180,1f73,1f7a,1f97,   0.600,   0.250,  -1.200
358,-21.305784,0.000000,0.000000,0.363345,0.931655,1fa2,1f47,1f12,  -1.750,   2.800,   5.450,-37.006447,6.009006,0.083598,0.601905,0.794180,1f75,1f7d,1f9d,   0.500,   0.100,  -1.500
365,-21.287598,2.481265,0.040339,0.363050,0.930896,1fa1,1f41,1f0f,  -1.700,   3.100,   5.600,-35.237030,3.012788,0.042929,0.576960,0.815643,1f72,1f78,1f9c,   0.650,   0.350,  -1.450
371,-21.287598,2.481265,0.040339,0.363050,0.930896,1fab,1f40,1f20,  -2.200,   3.150,   4.750,-35.125687,6.009007,0.085621,0.575372,0.813398,1f6a,1f7f,1f9f,   1.050,   0.000,  -1.600
381,-21.287598,2.481265,0.040339,0.363050,0.930896,1fab,1f39,1f20,  -2.200,   3.500,   4.750,-35.125687,6.009007,0.085621,0.575372,0.813398,1f6a,1f7f,1f9f,   1.050,   0.000,  -1.600
387,-21.287598,2.481265,0.040339,0.363050,0.930896,1fab,1f39,1f20,  -2.200,   3.500,   4.750,-35.125687,6.009007,0.085621,0.575372,0.813398,1f63,1f75,1f9c,   1.400,   0.500,  -1.450
394,-19.103100,2.481265,0.040909,0.327269,0.944045,1fa4,1f41,1f1d,  -1.850,   3.100,   4.900,-35.125687,6.009007,0.085621,0.575372,0.813398,1f63,1f75,1f9c,   1.400,   0.500,  -1.450
400,-21.287598,2.481265,0.040339,0.363050,0.930896,1f9b,1f48,1f21,  -1.400,   2.750,   4.700,-35.237030,3.012788,0.042929,0.576960,0.815643,1f63,1f7d,1fa1,   1.400,   0.100,  -1.700
408,-21.287598,2.481265,0.040339,0.363050,0.930896,1f9b,1f48,1f21,  -1.400,   2.750,   4.700,-35.237030,3.012788,0.042929,0.576960,0.815643,1f5d,1f75,1f9f,   1.700,   0.500,  -1.600
414,-21.305784,0.000000,0.000000,0.363345,0.931655,1f9f,1f47,1f29,  -1.600,   2.800,   4.300,-35.237030,3.012788,0.042929,0.576960,0.815643,1f5d,1f75,1f9f,   1.700,   0.500,  -1.600
420,-21.305784,0.000000,0.000000,0.363345,0.931655,1f9f,1f47,1f29,  -1.600,   2.800,   4.300,-37.120159,3.012788,0.041909,0.603489,0.796270,1f5f,1f78,1fa0,   1.600,   0.350,  -1.650
426,-21.287598,2.481265,0.040339,0.363050,0.930896,1f94,1f41,1f28,  -1.050,   3.100,   4.350,-37.006447,6.009006,0.083598,0.601905,0.794180,1f60,1f72,1f90,   1.550,   0.650,  -0.850
430,-21.287598,2.481265,0.040339,0.363050,0.930896,1f94,1f41,1f28,  -1.050,   3.100,   4.350,-37.006447,6.009006,0.083598,0.601905,0.794180,1f60,1f72,1f90,   1.550,   0.650,  -0.850
435,-21.305784,0.000000,0.000000,0.363345,0.931655,1f8c,1f46,1f2a,  -0.650,   2.850,   4.250,-35.237030,3.012788,0.042929,0.576960,0.815643,1f63,1f74,1f99,   1.400,   0.550,  -1.300
443,-21.287598,2.481265,0.040339,0.363050,0.930896,1f95,1f44,1f24,  -1.100,   2.950,   4.550,-35.237030,3.012788,0.042929,0.576960,0.815643,1f63,1f74,1f99,   1.400,   0.550,  -1.300
450,-21.287598,2.481265,0.040339,0.363050,0.930896,1f8b,1f49,1f29,  -0.600,   2.700,   4.300,-35.237030,3.012788,0.042929,0.576960,0.815643,1f54,1f70,1f9b,   2.150,   0.750,  -1.400
457,-21.287598,2.481265,0.040339,0.363050,0.930896,1f8b,1f49,1f29,  -0.600,   2.700,   4.300,-35.237030,3.012788,0.042929,0.576960,0.815643,1f5f,1f72,1f97,   1.600,   0.650,  -1.200
461,-21.287598,2.481265,0.040339,0.363050,0.930896,1f8b,1f49,1f29,  -0.600,   2.700,   4.300,-35.237030,3.012788,0.042929,0.576960,0.815643,1f5f,1f72,1f97,   1.600,   0.650,  -1.200
466,-21.305784,0.000000,0.000000,0.363345,0.931655,1f90,1f48,1f31,  -0.850,   2.750,   3.900,-37.120159,3.012788,0.041909,0.603489,0.796270,1f5e,1f74,1f9d,   1.650,   0.550,  -1.500
475,-21.305784,0.000000,0.000000,0.363345,0.931655,1f91,1f4e,1f31,  -0.900,   2.450,   3.900,-37.120159,3.012788,0.041909,0.603489,0.796270,1f5e,1f74,1f9d,   1.650,   0.550,  -1.500
478,-21.305784,0.000000,0.000000,0.363345,0.931655,1f91,1f4e,1f31,  -0.900,   2.450,   3.900,-37.120159,3.012788,0.041909,0.603489,0.796270,1f55,1f76,1fa1,   2.100,   0.450,  -1.700
483,-21.287598,2.481265,0.040339,0.363050,0.930896,1f8f,1f44,1f28,  -0.800,   2.950,   4.350,-37.120159,3.012788,0.041909,0.603489,0.796270,1f55,1f76,1fa1,   2.100,   0.450,  -1.700
490,-21.287598,2.481265,0.040339,0.363050,0.930896,1f90,1f3d,1f23,  -0.850,   3.300,   4.600,-35.618828,5.710594,0.080888,0.582390,0.808875,1f53,1f7b,1fa3,   2.200,   0.200,  -1.800
497,-21.287598,2.481265,0.040339,0.363050,0.930896,1f90,1f3d,1f23,  -0.850,   3.300,   4.600,-37.120159,3.012788,0.041909,0.603489,0.796270,1f5b,1f6f,1fab,   1.800,   0.800,  -2.200
504,-21.287598,2.481265,0.040339,0.363050,0.930896,1f8f,1f42,1f2e,  -0.800,   3.050,   4.050,-37.120159,3.012788,0.041909,0.603489,0.796270,1f5b,1f6f,1fab,   1.800,   0.800,  -2.200
511,-21.305784,0.000000,0.000000,0.363345,0.931655,1f89,1f46,1f27,  -0.500,   2.850,   4.400,-35.237030,3.012788,0.042929,0.576960,0.815643,1f5c,1f70,1fa0,   1.750,   0.750,  -1.650
517,-21.305784,0.000000,0.000000,0.363345,0.931655,1f89,1f46,1f27,  -0.500,   2.850,   4.400,-37.120159,3.012788,0.041909,0.603489,0.796270,1f59,1f6f,1fa2,   1.900,   0.800,  -1.750
523,-19.119724,0.000000,0.000000,0.327543,0.944836,1f97,1f40,1f29,  -1.200,   3.150,   4.300,-37.120159,3.012788,0.041909,0.603489,0.796270,1f59,1f6f,1fa2,   1.900,   0.800,  -1.750
530,-19.119724,0.000000,0.000000,0.327543,0.944836,1f97,1f40,1f29,  -1.200,   3.150,   4.300,-37.120159,3.012788,0.041909,0.603489,0.796270,1f50,1f76,1fa8,   2.350,   0.450,  -2.050
535,-21.287598,2.481265,0.040339,0.363050,0.930896,1f91,1f43,1f1f,  -0.900,   3.000,   4.800,-35.237030,3.012788,0.042929,0.576960,0.815643,1f51,1f78,1fa5,   2.300,   0.350,  -1.900
543,-21.305784,0.000000,0.000000,0.363345,0.931655,1f8c,1f44,1f23,  -0.650,   2.950,   4.600,-35.237030,3.012788,0.042929,0.576960,0.815643,1f51,1f78,1fa5,   2.300,   0.350,  -1.900
549,-21.287598,2.481265,0.040339,0.363050,0.930896,1f94,1f44,1f2d,  -1.050,   2.950,   4.100,-35.237030,3.012788,0.042929,0.576960,0.815643,1f51,1f79,1fa5,   2.300,   0.300,  -1.900
558,-21.287598,2.481265,0.040339,0.363050,0.930896,1f94,1f44,1f2d,  -1.050,   2.950,   4.100,-37.006447,6.009006,0.083598,0.601905,0.794180,1f4d,1f6f,1fa7,   2.500,   0.800,  -2.000
564,-21.305784,0.000000,0.000000,0.363345,0.931655,1f8c,1f48,1f38,  -0.650,   2.750,   3.550,-37.120159,3.012788,0.041909,0.603489,0.796270,1f57,1f76,1fa7,   2.000,   0.450,  -2.000
570,-21.287598,2.481265,0.040339,0.363050,0.930896,1f99,1f3e,1f33,  -1.300,   3.250,   3.800,-37.120159,3.012788,0.041909,0.603489,0.796270,1f57,1f76,1fa7,   2.000,   0.450,  -2.000
577,-21.287598,2.481265,0.040339,0.363050,0.930896,1f99,1f3e,1f33,  -1.300,   3.250,   3.800,-37.120159,3.012788,0.041909,0.603489,0.796270,1f5b,1f73,1fa3,   1.800,   0.600,  -1.800
584,-21.287598,2.481265,0.040339,0.363050,0.930896,1f97,1f40,1f32,  -1.200,   3.150,   3.850,-37.120159,3.012788,0.041909,0.603489,0.796270,1f5b,1f73,1fa3,   1.800,   0.600,  -1.800
590,-21.287598,2.481265,0.040339,0.363050,0.930896,1f97,1f40,1f32,  -1.200,   3.150,   3.850,-35.237030,3.012788,0.042929,0.576960,0.815643,1f54,1f74,1fab,   2.150,   0.550,  -2.200
596,-21.287598,2.481265,0.040339,0.363050,0.930896,1f86,1f47,1f2b,  -0.350,   2.800,   4.200,-35.237030,3.012788,0.042929,0.576960,0.815643,1f59,1f76,1faa,   1.900,   0.450,  -2.150
603,-21.305784,0.000000,0.000000,0.363345,0.931655,1f96,1f3d,1f31,  -1.150,   3.300,   3.900,-35.237030,3.012788,0.042929,0.576960,0.815643,1f59,1f76,1faa,   1.900,   0.450,  -2.150
610,-21.305784,0.000000,0.000000,0.363345,0.931655,1f96,1f3d,1f31,  -1.150,   3.300,   3.900,-35.237030,3.012788,0.042929,0.576960,0.815643,1f5d,1f73,1fa5,   1.700,   0.600,  -1.900
615,-21.305784,0.000000,0.000000,0.363345,0.931655,1f94,1f44,1f25,  -1.050,   2.950,   4.500,-35.237030,3.012788,0.042929,0.576960,0.815643,1f55,1f76,1faa,   2.100,   0.450,  -2.150
620,-21.305784,0.000000,0.000000,0.363345,0.931655,1f94,1f44,1f25,  -1.050,   2.950,   4.500,-35.237030,3.012788,0.042929,0.576960,0.815643,1f55,1f76,1faa,   2.100,   0.450,  -2.150
631,-21.305784,0.000000,0.000000,0.363345,0.931655,1f8a,1f3d,1f1e,  -0.550,   3.300,   4.850,-35.237030,3.012788,0.042929,0.576960,0.815643,1f5f,1f7b,1fa7,   1.600,   0.200,  -2.000
636,-21.305784,0.000000,0.000000,0.363345,0.931655,1fa1,1f45,1f18,  -1.700,   2.900,   5.150,-35.237030,3.012788,0.042929,0.576960,0.815643,1f5d,1f77,1fa8,   1.700,   0.400,  -2.050
640,-21.305784,0.000000,0.000000,0.363345,0.931655,1fa1,1f45,1f18,  -1.700,   2.900,   5.150,-35.237030,3.012788,0.042929,0.576960,0.815643,1f5d,1f77,1fa8,   1.700,   0.400,  -2.050
648,-21.287598,2.481265,0.040339,0.363050,0.930896,1f9e,1f43,1f17,  -1.550,   3.000,   5.200,-35.237030,3.012788,0.042929,0.576960,0.815643,1f58,1f79,1fab,   1.950,   0.300,  -2.200
655,-21.287598,2.481265,0.040339,0.363050,0.930896,1fa5,1f40,1f13,  -1.900,   3.150,   5.400,-35.237030,3.012788,0.042929,0.576960,0.815643,1f5a,1f7a,1fa4,   1.850,   0.250,  -1.850
662,-19.119724,0.000000,0.000000,0.327543,0.944836,1fa6,1f45,1f1e,  -1.950,   2.900,   4.850,-35.237030,3.012788,0.042929,0.576960,0.815643,1f5a,1f7a,1fa4,   1.850,   0.250,  -1.850
668,-19.119724,0.000000,0.000000,0.327543,0.944836,1fa6,1f45,1f1e,  -1.950,   2.900,   4.850,-35.237030,3.012788,0.042929,0.576960,0.815643,1f58,1f7b,1fa2,   1.950,   0.200,  -1.750
675,-19.103100,2.481265,0.040909,0.327269,0.944045,1fa6,1f46,1f17,  -1.950,   2.850,   5.200,-35.237030,3.012788,0.042929,0.576960,0.815643,1f57,1f7c,1f9b,   2.000,   0.150,  -1.400
681,-19.103100,2.481265,0.040909,0.327269,0.944045,1fa4,1f45,1f1b,  -1.850,   2.900,   5.000,-35.237030,3.012788,0.042929,0.576960,0.815643,1f57,1f7c,1f9b,   2.000,   0.150,  -1.400
688,-19.103100,2.481265,0.040909,0.327269,0.944045,1fa4,1f45,1f1b,  -1.850,   2.900,   5.000,-35.237030,3.012788,0.042929,0.576960,0.815643,1f65,1f7d,1f9f,   1.300,   0.100,  -1.600
695,-19.103100,2.481265,0.040909,0.327269,0.944045,1f94,1f4e,1f16,  -1.050,   2.450,   5.250,-35.237030,3.012788,0.042929,0.576960,0.815643,1f5c,1f76,1fa0,   1.750,   0.450,  -1.650
702,-21.305784,0.000000,0.000000,0.363345,0.931655,1f96,1f4c,1f19,  -1.150,   2.550,   5.100,-37.120159,3.012788,0.041909,0.603489,0.796270,1f61,1f85,1f9d,   1.500,  -0.300,  -1.500
711,-21.287598,2.481265,0.040339,0.363050,0.930896,1f8d,1f4d,1f12,  -0.700,   2.500,   5.450,-37.120159,3.012788,0.041909,0.603489,0.796270,1f61,1f85,1f9d,   1.500,  -0.300,  -1.500
718,-21.287598,2.481265,0.040339,0.363050,0.930896,1f8d,1f4d,1f12,  -0.700,   2.500,   5.450,-35.237030,3.012788,0.042929,0.576960,0.815643,1f69,1f7e,1f95,   1.100,   0.050,  -1.100
724,-21.305784,0.000000,0.000000,0.363345,0.931655,1f93,1f51,1f17,  -1.000,   2.300,   5.200,-35.237030,3.012788,0.042929,0.576960,0.815643,1f69,1f7e,1f95,   1.100,   0.050,  -1.100
728,-21.305784,0.000000,0.000000,0.363345,0.931655,1f93,1f51,1f17,  -1.000,   2.300,   5.200,-37.120159,3.012788,0.041909,0.603489,0.796270,1f6b,1f7b,1fa1,   1.000,   0.200,  -1.700
738,-21.305784,0.000000,0.000000,0.363345,0.931655,1f98,1f43,1f1b,  -1.250,   3.000,   5.000,-37.006447,6.009006,0.083598,0.601905,0.794180,1f5c,1f78,1f96,   1.750,   0.350,  -1.150
746,-21.305784,0.000000,0.000000,0.363345,0.931655,1f94,1f4b,1f17,  -1.050,   2.600,   5.200,-35.618828,5.710594,0.080888,0.582390,0.808875,1f5f,1f77,1f9c,   1.600,   0.400,  -1.450
752,-19.103100,2.481265,0.040909,0.327269,0.944045,1f96,1f45,1f1c,  -1.150,   2.900,   4.950,-35.618828,5.710594,0.080888,0.582390,0.808875,1f5f,1f77,1f9c,   1.600,   0.400,  -1.450
759,-19.103100,2.481265,0.040909,0.327269,0.944045,1f96,1f45,1f1c,  -1.150,   2.900,   4.950,-35.719975,2.862406,0.040543,0.583824,0.810867,1f61,1f72,1fa7,   1.500,   0.650,  -2.000
761,-19.103100,2.481265,0.040909,0.327269,0.944045,1f96,1f45,1f1c,  -1.150,   2.900,   4.950,-35.719975,2.862406,0.040543,0.583824,0.810867,1f61,1f72,1fa7,   1.500,   0.650,  -2.000
768,-19.103100,2.481265,0.040909,0.327269,0.944045,1f92,1f48,1f1f,  -0.950,   2.750,   4.800,-35.719975,2.862406,0.040543,0.583824,0.810867,1f59,1f6a,1fa3,   1.900,   1.050,  -1.800
773,-21.287598,2.481265,0.040339,0.363050,0.930896,1f9c,1f4b,1f1d,  -1.450,   2.600,   4.900,-35.719975,2.862406,0.040543,0.583824,0.810867,1f59,1f6a,1fa3,   1.900,   1.050,  -1.800
778,-21.287598,2.481265,0.040339,0.363050,0.930896,1f99,1f4e,1f1b,  -1.300,   2.450,   5.000,-35.125687,6.009007,0.085621,0.575372,0.813398,1f55,1f72,1fa9,   2.100,   0.650,  -2.100
787,-21.287598,2.481265,0.040339,0.363050,0.930896,1f99,1f4e,1f1b,  -1.300,   2.450,   5.000,-35.237030,3.012788,0.042929,0.576960,0.815643,1f52,1f73,1fa6,   2.250,   0.600,  -1.950
794,-21.287598,2.481265,0.040339,0.363050,0.930896,1f9e,1f52,1f23,  -1.550,   2.250,   4.600,-35.237030,3.012788,0.042929,0.576960,0.815643,1f52,1f73,1fa6,   2.250,   0.600,  -1.950
800,-21.287598,2.481265,0.040339,0.363050,0.930896,1f9e,1f52,1f23,  -1.550,   2.250,   4.600,-35.237030,3.012788,0.042929,0.576960,0.815643,1f53,1f77,1fa8,   2.200,   0.400,  -2.050
806,-19.103100,2.481265,0.040909,0.327269,0.944045,1f90,1f4b,1f22,  -0.850,   2.600,   4.650,-35.237030,3.012788,0.042929,0.576960,0.815643,1f4a,1f72,1fa9,   2.650,   0.650,  -2.100
813,-21.287598,2.481265,0.040339,0.363050,0.930896,1f8b,1f4a,1f18,  -0.600,   2.650,   5.150,-35.237030,3.012788,0.042929,0.576960,0.815643,1f4a,1f72,1fa9,   2.650,   0.650,  -2.100
819,-21.287598,2.481265,0.040339,0.363050,0.930896,1f8b,1f4a,1f18,  -0.600,   2.650,   5.150,-37.120159,3.012788,0.041909,0.603489,0.796270,1f52,1f76,1fa3,   2.250,   0.450,  -1.800
824,-21.305784,0.000000,0.000000,0.363345,0.931655,1f95,1f4f,1f24,  -1.100,   2.400,   4.550,-37.120159,3.012788,0.041909,0.603489,0.796270,1f52,1f76,1fa3,   2.250,   0.450,  -1.800
829,-21.305784,0.000000,0.000000,0.363345,0.931655,1f95,1f4f,1f24,  -1.100,   2.400,   4.550,-35.237030,3.012788,0.042929,0.576960,0.815643,1f4c,1f73,1faa,   2.550,   0.600,  -2.150
834,-21.287598,2.481265,0.040339,0.363050,0.930896,1f8e,1f54,1f1e,  -0.750,   2.150,   4.850,-35.237030,3.012788,0.042929,0.576960,0.815643,1f4c,1f73,1faa,   2.550,   0.600,  -2.150
839,-21.287598,2.481265,0.040339,0.363050,0.930896,1f8e,1f54,1f1e,  -0.750,   2.150,   4.850,-37.120159,3.012788,0.041909,0.603489,0.796270,1f4a,1f72,1fa9,   2.650,   0.650,  -2.100
844,-19.119724,0.000000,0.000000,0.327543,0.944836,1f94,1f50,1f20,  -1.050,   2.350,   4.750,-37.120159,3.012788,0.041909,0.603489,0.796270,1f4a,1f72,1fa9,   2.650,   0.650,  -2.100
850,-19.119724,0.000000,0.000000,0.327543,0.944836,1f8b,1f5a,1f1f,  -0.600,   1.850,   4.800,-35.237030,3.012788,0.042929,0.576960,0.815643,1f50,1f6a,1fa8,   2.350,   1.050,  -2.050
857,-19.103100,2.481265,0.040909,0.327269,0.944045,1f8f,1f5f,1f22,  -0.800,   1.600,   4.650,-37.120159,3.012788,0.041909,0.603489,0.796270,1f41,1f76,1fb5,   3.100,   0.450,  -2.700
867,-19.103100,2.481265,0.040909,0.327269,0.944045,1f8f,1f5f,1f22,  -0.800,   1.600,   4.650,-35.237030,3.012788,0.042929,0.576960,0.815643,1f4d,1f74,1fad,   2.500,   0.550,  -2.300
