
Time,Acc Pitch Orientation #WM1, Acc Roll Orientation #WM1,Acc X #WM1,Acc Y #WM1,Acc Z #WM1,		Raw Yaw #WM1,Raw Pitch #WM1,Raw Roll #WM1,Speed Yaw #WM1, Speed Pitch #WM1,Speed Roll #WM1,		Acc Pitch Orientation #WM2, Acc Roll Orientation #WM2,Acc X #WM2,Acc Y #WM2,Acc Z #WM2,		Raw Yaw #WM2,Raw Pitch #WM2,Raw Roll #WM2,Speed Yaw #WM2, Speed Pitch #WM2,Speed Roll #WM2
86,-16.026730,9.447456,0.157763,0.276086,0.948097,1f91,1f4a,1f21,  -0.900,   2.650,   4.700,0.000000,0.000000,0.000000,0.000000,0.000000,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
100,-18.858807,9.833565,0.161619,0.323237,0.932415,1f97,1f46,1f1d,  -1.200,   2.850,   4.900,0.000000,0.000000,0.000000,0.000000,0.000000,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
110,-18.858807,9.833565,0.161619,0.323237,0.932415,1f9d,1f47,1f20,  -1.500,   2.800,   4.750,0.000000,0.000000,0.000000,0.000000,0.000000,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
121,-16.640182,9.833565,0.163635,0.286360,0.944045,1f91,1f4e,1f23,  -0.900,   2.450,   4.600,0.000000,0.000000,0.000000,0.000000,0.000000,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
138,-16.640182,9.833565,0.163635,0.286360,0.944045,1f93,1f4a,1f27,  -1.000,   2.650,   4.400,0.000000,0.000000,0.000000,0.000000,0.000000,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
147,-16.640182,9.833565,0.163635,0.286360,0.944045,1f95,1f47,1f22,  -1.100,   2.800,   4.650,0.000000,0.000000,0.000000,0.000000,0.000000,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
168,-16.640182,9.833565,0.163635,0.286360,0.944045,1f99,1f4b,1f26,  -1.300,   2.600,   4.450,0.000000,0.000000,0.000000,0.000000,0.000000,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
180,-16.640182,9.833565,0.163635,0.286360,0.944045,1f99,1f4b,1f26,  -1.300,   2.600,   4.450,0.000000,0.000000,0.000000,0.000000,0.000000,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
189,-16.640182,9.833565,0.163635,0.286360,0.944045,1f94,1f52,1f27,  -1.050,   2.250,   4.400,0.000000,0.000000,0.000000,0.000000,0.000000,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
193,-16.640182,9.833565,0.163635,0.286360,0.944045,1f93,1f51,1f27,  -1.000,   2.300,   4.400,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
197,-16.640182,9.833565,0.163635,0.286360,0.944045,1f93,1f51,1f27,  -1.000,   2.300,   4.400,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
201,-16.640182,9.833565,0.163635,0.286360,0.944045,1f93,1f51,1f27,  -1.000,   2.300,   4.400,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
205,-16.640182,9.833565,0.163635,0.286360,0.944045,1f8c,1f48,1f28,  -0.650,   2.750,   4.350,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
209,-16.640182,9.833565,0.163635,0.286360,0.944045,1f8c,1f48,1f28,  -0.650,   2.750,   4.350,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
214,-16.640182,9.833565,0.163635,0.286360,0.944045,1f97,1f46,1f26,  -1.200,   2.850,   4.450,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
221,-16.640182,9.833565,0.163635,0.286360,0.944045,1f97,1f46,1f26,  -1.200,   2.850,   4.450,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
224,-16.640182,9.833565,0.163635,0.286360,0.944045,1f90,1f4a,1f22,  -0.850,   2.650,   4.650,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
230,-16.640182,9.833565,0.163635,0.286360,0.944045,1f90,1f4a,1f22,  -0.850,   2.650,   4.650,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
235,-16.640182,9.833565,0.163635,0.286360,0.944045,1f93,1f50,1f1c,  -1.000,   2.350,   4.950,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
239,-16.640182,9.833565,0.163635,0.286360,0.944045,1f93,1f50,1f1c,  -1.000,   2.350,   4.950,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
245,-16.640182,9.833565,0.163635,0.286360,0.944045,1f93,1f50,1f1c,  -1.000,   2.350,   4.950,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
252,-16.640182,9.833565,0.163635,0.286360,0.944045,1f99,1f49,1f1c,  -1.300,   2.700,   4.950,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
256,-16.640182,9.833565,0.163635,0.286360,0.944045,1f93,1f49,1f23,  -1.000,   2.700,   4.600,-25.279379,-10.304848,-0.161755,0.427032,0.889651,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
259,-16.640182,9.833565,0.163635,0.286360,0.944045,1f93,1f49,1f23,  -1.000,   2.700,   4.600,-25.279379,-10.304848,-0.161755,0.427032,0.889651,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
264,-16.640182,9.833565,0.163635,0.286360,0.944045,1f94,1f49,1f27,  -1.050,   2.700,   4.400,-23.975262,-13.392498,-0.211637,0.406342,0.888874,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
269,-16.640182,9.833565,0.163635,0.286360,0.944045,1f94,1f49,1f27,  -1.050,   2.700,   4.400,-23.975262,-13.392498,-0.211637,0.406342,0.888874,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
273,-16.640182,9.833565,0.163635,0.286360,0.944045,1f90,1f43,1f23,  -0.850,   3.000,   4.600,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
277,-16.640182,9.833565,0.163635,0.286360,0.944045,1f90,1f43,1f23,  -0.850,   3.000,   4.600,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
286,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9a,1f4a,1f23,  -1.350,   2.650,   4.600,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
290,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9a,1f4a,1f23,  -1.350,   2.650,   4.600,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
295,-16.640182,9.833565,0.163635,0.286360,0.944045,1f92,1f4d,1f26,  -0.950,   2.500,   4.450,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
300,-16.640182,9.833565,0.163635,0.286360,0.944045,1f92,1f4d,1f26,  -0.950,   2.500,   4.450,-25.279379,-10.304848,-0.161755,0.427032,0.889651,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
308,-18.858807,9.833565,0.161619,0.323237,0.932415,1f95,1f47,1f21,  -1.100,   2.800,   4.700,-24.183371,-10.784298,-0.170691,0.409658,0.896128,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
315,-16.640182,9.833565,0.163635,0.286360,0.944045,1f99,1f40,1f1a,  -1.300,   3.150,   5.050,-24.183371,-10.784298,-0.170691,0.409658,0.896128,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
319,-16.640182,9.833565,0.163635,0.286360,0.944045,1f99,1f40,1f1a,  -1.300,   3.150,   5.050,-24.183371,-10.784298,-0.170691,0.409658,0.896128,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
323,-16.640182,9.833565,0.163635,0.286360,0.944045,1f99,1f40,1f1a,  -1.300,   3.150,   5.050,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
327,-16.640182,9.833565,0.163635,0.286360,0.944045,1fa3,1f4a,1f24,  -1.800,   2.650,   4.550,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
331,-16.640182,9.833565,0.163635,0.286360,0.944045,1fa3,1f4a,1f24,  -1.800,   2.650,   4.550,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
336,-16.640182,9.833565,0.163635,0.286360,0.944045,1f93,1f45,1f1e,  -1.000,   2.900,   4.850,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
348,-16.640182,9.833565,0.163635,0.286360,0.944045,1f97,1f48,1f25,  -1.200,   2.750,   4.500,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
369,-16.640182,9.833565,0.163635,0.286360,0.944045,1f94,1f4d,1f1f,  -1.050,   2.500,   4.800,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
382,-16.640182,9.833565,0.163635,0.286360,0.944045,1f90,1f47,1f23,  -0.850,   2.800,   4.600,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
390,-16.640182,9.833565,0.163635,0.286360,0.944045,1f98,1f4d,1f21,  -1.250,   2.500,   4.700,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
404,-16.640182,9.833565,0.163635,0.286360,0.944045,1f96,1f4b,1f1e,  -1.150,   2.600,   4.850,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
412,-16.640182,9.833565,0.163635,0.286360,0.944045,1f96,1f4b,1f1e,  -1.150,   2.600,   4.850,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
418,-16.640182,9.833565,0.163635,0.286360,0.944045,1f8b,1f4e,1f24,  -0.600,   2.450,   4.550,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
422,-16.640182,9.833565,0.163635,0.286360,0.944045,1f8b,1f4e,1f24,  -0.600,   2.450,   4.550,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
427,-16.640182,9.833565,0.163635,0.286360,0.944045,1f91,1f4a,1f24,  -0.900,   2.650,   4.550,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
431,-16.640182,9.833565,0.163635,0.286360,0.944045,1f91,1f4a,1f24,  -0.900,   2.650,   4.550,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
437,-16.640182,9.833565,0.163635,0.286360,0.944045,1f91,1f4b,1f26,  -0.900,   2.600,   4.450,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
441,-16.640182,9.833565,0.163635,0.286360,0.944045,1f91,1f4b,1f26,  -0.900,   2.600,   4.450,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
448,-16.640182,9.833565,0.163635,0.286360,0.944045,1f97,1f55,1f29,  -1.200,   2.100,   4.300,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
452,-16.640182,9.833565,0.163635,0.286360,0.944045,1f97,1f55,1f29,  -1.200,   2.100,   4.300,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
463,-16.640182,9.833565,0.163635,0.286360,0.944045,1f8c,1f48,1f22,  -0.650,   2.750,   4.650,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
467,-18.858807,9.833565,0.161619,0.323237,0.932415,1f96,1f45,1f24,  -1.150,   2.900,   4.550,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
472,-18.858807,9.833565,0.161619,0.323237,0.932415,1f96,1f45,1f24,  -1.150,   2.900,   4.550,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
476,-18.858807,9.833565,0.161619,0.323237,0.932415,1f96,1f45,1f24,  -1.150,   2.900,   4.550,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
480,-16.640182,9.833565,0.163635,0.286360,0.944045,1f93,1f47,1f23,  -1.000,   2.800,   4.600,-24.183371,-10.784298,-0.170691,0.409658,0.896128,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
485,-18.858807,9.833565,0.161619,0.323237,0.932415,1f93,1f51,1f2c,  -1.000,   2.300,   4.150,-24.183371,-10.784298,-0.170691,0.409658,0.896128,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
490,-18.858807,9.833565,0.161619,0.323237,0.932415,1f93,1f51,1f2c,  -1.000,   2.300,   4.150,-24.183371,-10.784298,-0.170691,0.409658,0.896128,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
494,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9b,1f52,1f1f,  -1.400,   2.250,   4.800,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
499,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9b,1f52,1f1f,  -1.400,   2.250,   4.800,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
503,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9b,1f52,1f1f,  -1.400,   2.250,   4.800,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
512,-16.640182,9.833565,0.163635,0.286360,0.944045,1f99,1f55,1f26,  -1.300,   2.100,   4.450,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
516,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9e,1f4f,1f22,  -1.550,   2.400,   4.650,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
520,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9e,1f4f,1f22,  -1.550,   2.400,   4.650,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
525,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9e,1f4f,1f22,  -1.550,   2.400,   4.650,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
529,-16.640182,9.833565,0.163635,0.286360,0.944045,1f98,1f4c,1f1f,  -1.250,   2.550,   4.800,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
533,-16.640182,9.833565,0.163635,0.286360,0.944045,1f98,1f4c,1f1f,  -1.250,   2.550,   4.800,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
540,-16.640182,9.833565,0.163635,0.286360,0.944045,1f90,1f4d,1f22,  -0.850,   2.500,   4.650,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
545,-16.640182,9.833565,0.163635,0.286360,0.944045,1f90,1f4d,1f22,  -0.850,   2.500,   4.650,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
551,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9d,1f4b,1f21,  -1.500,   2.600,   4.700,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
555,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9d,1f4b,1f21,  -1.500,   2.600,   4.700,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
561,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9b,1f45,1f23,  -1.400,   2.900,   4.600,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
565,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9b,1f45,1f23,  -1.400,   2.900,   4.600,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
570,-16.640182,9.833565,0.163635,0.286360,0.944045,1f93,1f49,1f27,  -1.000,   2.700,   4.400,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
574,-16.640182,9.833565,0.163635,0.286360,0.944045,1f93,1f49,1f27,  -1.000,   2.700,   4.400,-24.183371,-10.784298,-0.170691,0.409658,0.896128,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
579,-16.640182,9.833565,0.163635,0.286360,0.944045,1f92,1f4b,1f23,  -0.950,   2.600,   4.600,-24.183371,-10.784298,-0.170691,0.409658,0.896128,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
585,-16.640182,9.833565,0.163635,0.286360,0.944045,1f92,1f4b,1f23,  -0.950,   2.600,   4.600,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
590,-16.640182,9.833565,0.163635,0.286360,0.944045,1f98,1f41,1f24,  -1.250,   3.100,   4.550,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
594,-16.640182,9.833565,0.163635,0.286360,0.944045,1f98,1f41,1f24,  -1.250,   3.100,   4.550,-24.183371,-10.784298,-0.170691,0.409658,0.896128,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
603,-16.640182,9.833565,0.163635,0.286360,0.944045,1f90,1f4f,1f26,  -0.850,   2.400,   4.450,-24.183371,-10.784298,-0.170691,0.409658,0.896128,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
607,-16.640182,9.833565,0.163635,0.286360,0.944045,1f90,1f4f,1f26,  -0.850,   2.400,   4.450,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
612,-16.640182,9.833565,0.163635,0.286360,0.944045,1f93,1f42,1f24,  -1.000,   3.050,   4.550,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
618,-16.640182,9.833565,0.163635,0.286360,0.944045,1f91,1f44,1f29,  -0.900,   2.950,   4.300,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
622,-16.640182,9.833565,0.163635,0.286360,0.944045,1f91,1f44,1f29,  -0.900,   2.950,   4.300,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
627,-16.640182,9.833565,0.163635,0.286360,0.944045,1f95,1f4e,1f1d,  -1.100,   2.450,   4.900,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
631,-16.640182,9.833565,0.163635,0.286360,0.944045,1f95,1f4e,1f1d,  -1.100,   2.450,   4.900,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
638,-16.640182,9.833565,0.163635,0.286360,0.944045,1f92,1f4c,1f1d,  -0.950,   2.550,   4.900,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
642,-16.640182,9.833565,0.163635,0.286360,0.944045,1f92,1f4c,1f1d,  -0.950,   2.550,   4.900,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
646,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9a,1f49,1f22,  -1.350,   2.700,   4.650,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
651,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9a,1f49,1f22,  -1.350,   2.700,   4.650,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
657,-16.640182,9.833565,0.163635,0.286360,0.944045,1f96,1f4f,1f21,  -1.150,   2.400,   4.700,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
662,-16.640182,9.833565,0.163635,0.286360,0.944045,1f96,1f4f,1f21,  -1.150,   2.400,   4.700,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
668,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9f,1f46,1f1f,  -1.600,   2.850,   4.800,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
672,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9f,1f46,1f1f,  -1.600,   2.850,   4.800,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
677,-16.640182,9.833565,0.163635,0.286360,0.944045,1f91,1f48,1f23,  -0.900,   2.750,   4.600,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
681,-16.640182,9.833565,0.163635,0.286360,0.944045,1f91,1f48,1f23,  -0.900,   2.750,   4.600,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
687,-16.640182,9.833565,0.163635,0.286360,0.944045,1f95,1f4c,1f22,  -1.100,   2.550,   4.650,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
691,-16.640182,9.833565,0.163635,0.286360,0.944045,1f95,1f4c,1f22,  -1.100,   2.550,   4.650,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
697,-16.640182,9.833565,0.163635,0.286360,0.944045,1f96,1f4a,1f26,  -1.150,   2.650,   4.450,-24.183371,-10.784298,-0.170691,0.409658,0.896128,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
702,-16.640182,9.833565,0.163635,0.286360,0.944045,1f96,1f4a,1f26,  -1.150,   2.650,   4.450,-24.183371,-10.784298,-0.170691,0.409658,0.896128,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
708,-16.640182,9.833565,0.163635,0.286360,0.944045,1f8f,1f46,1f2a,  -0.800,   2.850,   4.250,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
712,-16.640182,9.833565,0.163635,0.286360,0.944045,1f8f,1f46,1f2a,  -0.800,   2.850,   4.250,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
719,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9e,1f44,1f24,  -1.550,   2.950,   4.550,-24.183371,-10.784298,-0.170691,0.409658,0.896128,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
722,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9e,1f44,1f24,  -1.550,   2.950,   4.550,-24.183371,-10.784298,-0.170691,0.409658,0.896128,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
728,-16.640182,9.833565,0.163635,0.286360,0.944045,1f93,1f45,1f24,  -1.000,   2.900,   4.550,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
732,-16.640182,9.833565,0.163635,0.286360,0.944045,1f93,1f45,1f24,  -1.000,   2.900,   4.550,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
737,-16.640182,9.833565,0.163635,0.286360,0.944045,1f93,1f45,1f24,  -1.000,   2.900,   4.550,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
742,-16.640182,9.833565,0.163635,0.286360,0.944045,1f97,1f45,1f25,  -1.200,   2.900,   4.500,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
747,-16.640182,9.833565,0.163635,0.286360,0.944045,1f98,1f4e,1f25,  -1.250,   2.450,   4.500,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
751,-16.640182,9.833565,0.163635,0.286360,0.944045,1f98,1f4e,1f25,  -1.250,   2.450,   4.500,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
758,-16.640182,9.833565,0.163635,0.286360,0.944045,1f94,1f45,1f22,  -1.050,   2.900,   4.650,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
762,-16.640182,9.833565,0.163635,0.286360,0.944045,1f94,1f45,1f22,  -1.050,   2.900,   4.650,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
769,-16.640182,9.833565,0.163635,0.286360,0.944045,1f9f,1f44,1f24,  -1.600,   2.950,   4.550,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
775,-16.640182,9.833565,0.163635,0.286360,0.944045,1f94,1f48,1f22,  -1.050,   2.750,   4.650,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
780,-16.640182,9.833565,0.163635,0.286360,0.944045,1f94,1f48,1f22,  -1.050,   2.750,   4.650,-23.235060,-10.304847,-0.164377,0.394504,0.904072,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
784,-16.640182,9.833565,0.163635,0.286360,0.944045,1f94,1f48,1f22,  -1.050,   2.750,   4.650,-23.050362,-12.804266,-0.203927,0.391540,0.897279,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
788,-16.640182,9.833565,0.163635,0.286360,0.944045,1f8f,1f50,1f2c,  -0.800,   2.350,   4.150,-24.183371,-10.784298,-0.170691,0.409658,0.896128,1f68,1f80,1fb7,   1.150,  -0.050,  -2.800
